time[YYYY-MM-DD hh:mm:ss PST], fluorescence
6/1/16 13:15,2.698
6/1/16 13:25,3.565
6/1/16 13:35,3.114
6/1/16 13:45,3.284
6/1/16 13:55,2.564
6/1/16 14:05,3.504
6/1/16 14:15,2.869
6/1/16 14:25,4.078
6/1/16 14:35,3.565
6/1/16 14:45,3.724
6/1/16 14:55,2.747
6/1/16 15:05,2.625
6/1/16 15:15,2.686
6/1/16 15:25,2.979
6/1/16 15:35,3.48
6/1/16 15:45,3.553
6/1/16 15:55,2.857
6/1/16 16:05,3.651
6/1/16 16:15,3.858
6/1/16 16:25,4.713
6/1/16 16:35,4.335
6/1/16 16:45,4.835
6/1/16 16:55,5.324
6/1/16 17:05,5.824
6/1/16 17:15,5.629
6/1/16 17:25,5.324
6/1/16 17:35,6.3
6/1/16 17:45,6.227
6/1/16 17:55,7.546
6/1/16 18:05,6.361
6/1/16 18:15,6.496
6/1/16 18:25,7.167
6/1/16 18:35,7.057
6/1/16 18:45,7.753
6/1/16 18:55,7.46
6/1/16 19:05,11.258
6/1/16 19:15,8.852
6/1/16 19:25,9.389
6/1/16 19:35,8.242
6/1/16 19:45,9.512
6/1/16 19:55,10.281
6/1/16 20:05,9.866
6/1/16 20:15,9.756
6/1/16 20:25,10.354
6/1/16 20:35,10.574
6/1/16 20:45,11.123
6/1/16 20:55,11.941
6/1/16 21:05,10.024
6/1/16 21:15,9.597
6/1/16 21:25,9.158
6/1/16 21:35,10.623
6/1/16 21:45,8.938
6/1/16 21:55,7.68
6/1/16 22:05,8.01
6/1/16 22:15,9.06
6/1/16 22:25,7.827
6/1/16 22:35,8.12
6/1/16 22:45,7.766
6/1/16 22:55,6.545
6/1/16 23:05,6.923
6/1/16 23:15,7.021
6/1/16 23:25,7.668
6/1/16 23:35,8.877
6/1/16 23:45,8.95
6/1/16 23:55,8.205
6/2/16 0:05,7.949
6/2/16 0:15,7.448
6/2/16 0:25,9.292
6/2/16 0:35,8.23
6/2/16 0:45,9.304
6/2/16 0:55,8.803
6/2/16 1:05,9.121
6/2/16 1:15,9.585
6/2/16 1:25,8.291
6/2/16 1:35,8.181
6/2/16 1:45,7.985
6/2/16 1:55,7.473
6/2/16 2:05,7.387
6/2/16 2:15,7.766
6/2/16 2:25,8.657
6/2/16 2:35,7.46
6/2/16 2:45,8.987
6/2/16 2:55,8.254
6/2/16 3:05,7.375
6/2/16 3:15,7.387
6/2/16 3:25,7.411
6/2/16 3:35,6.618
6/2/16 3:45,6.545
6/2/16 3:55,6.691
6/2/16 4:05,6.325
6/2/16 4:15,6.886
6/2/16 4:25,6.716
6/2/16 4:35,7.326
6/2/16 4:45,7.558
6/2/16 4:55,6.679
6/2/16 5:08,6.581
6/2/16 5:15,6.361
6/2/16 5:25,6.484
6/2/16 5:35,6.947
6/2/16 5:45,6.508
6/2/16 5:55,7.033
6/2/16 6:05,6.74
6/2/16 6:15,6.654
6/2/16 6:25,6.032
6/2/16 6:35,5.641
6/2/16 6:45,7.106
6/2/16 6:55,6.679
6/2/16 7:05,5.714
6/2/16 7:15,5.617
6/2/16 7:25,5.336
6/2/16 7:35,4.518
6/2/16 7:45,4.237
6/2/16 7:55,4.493
6/2/16 8:05,4.127
6/2/16 8:15,4.725
6/2/16 8:25,6.484
6/2/16 8:35,7.155
